"overnight_category"	"fuel_1_general"	"year"	"capacity_mw"	"n"	"avg_size_mw"	"avg_age"	"heat_rate"	"capacity.factor.avg"	"efficiency"	"pred.heat.rate"	"fuel.price"	"adj.fuel.price"
"conventional combustion turbine"	"kerosene"	1998	0	NA	NA	NA	NA	0.183623742459464	NA	12018.0998620276	NA	NA
"conventional combustion turbine"	"kerosene"	1999	0	NA	NA	NA	NA	0.126202536413478	NA	11788.1537269495	NA	NA
"conventional combustion turbine"	"kerosene"	2000	0	NA	NA	NA	NA	NA	NA	11607.6312680885	NA	NA
"conventional combustion turbine"	"kerosene"	2001	0	NA	NA	NA	NA	0.157535372273716	NA	11476.5324854444	NA	NA
"conventional combustion turbine"	"kerosene"	2002	0	NA	NA	NA	NA	0.136774547689585	NA	11394.8573790172	NA	NA
"conventional combustion turbine"	"kerosene"	2003	53	1	53	0	NA	0.143387552664281	NA	11362.6059488071	NA	NA
"conventional combustion turbine"	"kerosene"	2004	0	NA	NA	NA	10739.205909202	0.179796148649878	NA	11379.7781948139	NA	NA
"conventional combustion turbine"	"kerosene"	2005	0	NA	NA	NA	10782.3989907875	0.175262918988582	NA	11446.3741170376	NA	NA
"conventional combustion turbine"	"kerosene"	2006	0	NA	NA	NA	11187.1443086783	0.17677865504125	NA	11562.3937154784	NA	NA
"conventional combustion turbine"	"kerosene"	2007	41	1	41	0	11417.7206618029	0.221418465987003	NA	11727.8369901361	NA	NA
"conventional combustion turbine"	"kerosene"	2008	41.1	7	5.87142857142857	0	11536.2771553205	0.19240182115354	NA	11942.7039410108	NA	NA
"conventional combustion turbine"	"kerosene"	2009	0	NA	NA	NA	11754.5405302334	0.162979740466474	NA	12206.9945681024	NA	NA
"conventional combustion turbine"	"kerosene"	2010	194	4	48.5	0	13442.6278676707	0.152016126730052	NA	12520.708871411	NA	NA
"conventional combustion turbine"	"kerosene"	2011	194	4	48.5	0	14190.5240172209	0.138060800105701	NA	12883.8468509366	NA	NA
"conventional combustion turbine"	"kerosene"	2012	143.6	3	47.8666666666667	0	13675.9025453032	0.0873574413934519	NA	13296.4085066791	NA	NA
